,head,head_replaced,head_translated
812,new dvds,new dvds,新dvd
813,bush,bush,灌木
814,bricklayer,bricklayer,砌砖工
815,cream,cream,奶油
816,diet book,diet book,饮食手册
817,piano stool,piano stool,钢琴凳
818,torturer,torturer,虐待者
819,fire hydrant,fire hydrant,消防栓
820,blackjack table,blackjack table,二十一点桌
821,cotten candy and pony,cotten candy and pony,糖果和小马
822,blackout drapes,blackout drapes,灯火管制窗帘
823,subway platform,subway platform,地铁站台
824,orange,orange,橙子
825,dust jacket,dust jacket,书衣
826,casserole,casserole,砂锅
827,roku,roku,罗库
828,house hold oil,house hold oil,房屋储油
829,busy mom,busy mom,忙妈妈
830,quack,quack,庸医
831,crosswalk,crosswalk,人行横道
832,hear crowd go mad,hear crowd go mad,听到人群发疯
833,botttles,botttles,伯特尔斯
834,mother cat,mother cat,猫妈妈
835,childhhood,childhhood,童年
836,seat back,seat back,座椅靠背
837,take cruise,take cruise,乘坐游船
838,sheet,sheet,表
839,hydrogen fuel,hydrogen fuel,氢燃料
840,sitcom,sitcom,情景喜剧
841,animal feces,animal feces,动物粪便
842,circuit breaker,circuit breaker,断路器
843,articles of clothing,articles of clothing,衣物
844,styrofoam container,styrofoam container,泡沫塑料容器
845,speed of light,speed of light,光速
846,weightlifter,weightlifter,举重运动员
847,trash receptacle,trash receptacle,垃圾桶
848,nuts,nuts,坚果
849,vitanims,vitanims,维塔尼
850,room key,room key,房间钥匙
851,buddists,buddists,佛教徒
852,hardshell case,hardshell case,硬壳外壳
853,strings,strings,字符串
854,tourniquet,tourniquet,止血带
855,parable,parable,寓言
856,dna,dna,脱氧核糖核酸
857,contact list,contact list,联系人列表
858,journals,journals,期刊
859,tv subscription,tv subscription,电视订阅
860,organ,organ,器官
861,magma,magma,岩浆
862,canned food,canned food,罐头食品
863,swimming trunks,swimming trunks,游泳裤
864,runner,runner,跑步者
865,listen to very loud music,listen to very loud music,听很大声的音乐
866,bee,bee,蜜蜂
867,pepper spray,pepper spray,胡椒粉喷雾剂
868,frost,frost,霜冻
869,fast computer,fast computer,快速计算机
870,satchel bag,satchel bag,挎包包
871,artwork,artwork,艺术作品
872,past tense,past tense,过去时
873,exercise equipment,exercise equipment,健身器材
874,executioner,executioner,刽子手
875,stroke,stroke,中风
876,steve izerman,steve izerman,史蒂夫·伊泽曼
877,moisturizers,moisturizers,保湿剂
878,call,call,呼叫
879,on off switch,on off switch,打开开关
880,control room,control room,控制室
881,other dirty dishes,other dirty dishes,其他脏盘子
882,lord,lord,主
883,protein shapes,protein shapes,蛋白质形状
884,wasabi,wasabi,芥末
885,explorer,explorer,探险家
886,semi truck,semi truck,半挂货车
887,surf internet,surf internet,网上冲浪
888,handlebar,handlebar,车把
889,ceral,ceral,ceral
890,really smart kid,really smart kid,很聪明的孩子
891,butterfly net,butterfly net,蝴蝶网
892,groom,groom,培养
893,milkmaid,milkmaid,挤奶女工
894,drunk driver,drunk driver,醉酒驾驶者
895,existence,existence,存在
896,screw driver,screw driver,螺丝刀
897,toothpick,toothpick,牙签
898,cute outfit,cute outfit,可爱的装扮
899,pedophile,pedophile,恋童癖
900,meal,meal,餐
901,storn,storn,斯托恩
902,employee guidebook,employee guidebook,雇员指南
903,garlic bread,garlic bread,蒜蓉面包
904,treezer,treezer,treezer
905,swordsman,swordsman,剑客
906,nothingness,nothingness,无
907,conspicuous consumption,conspicuous consumption,炫耀性消费
908,chemicals,chemicals,化学品
909,meat cutter,meat cutter,切肉机
910,reward money,reward money,赏金
911,good reliable car,good reliable car,可靠好车
912,townhouse,townhouse,联排别墅
913,pattern,pattern,模式
914,positive balance,positive balance,正平衡
915,limosine,limosine,力摩辛
916,rollercoaster,rollercoaster,过山车
917,home office,home office,内政部
918,clipper,clipper,快速帆船
919,subscription,subscription,订阅费
920,name tags,name tags,姓名标签
921,periodical,periodical,期刊
922,computer monitor,computer monitor,电脑显示器
923,plectrum,plectrum,拨子
924,yoga,yoga,瑜伽
925,rampant stupidity,rampant stupidity,猖獗的愚蠢
926,canal,canal,运河
927,broadcast studio,broadcast studio,广播演播室
928,daycare,daycare,日托
929,idealist,idealist,理想主义
930,whiskey bottle,whiskey bottle,威士忌酒瓶
931,club clothes,club clothes,俱乐部服装
932,ficus,ficus,无花果
933,wedding bands,wedding bands,结婚戒指
934,crown,crown,皇冠
935,plane manual,plane manual,飞机手册
936,playstation 2,playstation 2,PlayStation 2
937,enthusiasm,enthusiasm,热情
938,quartz movement,quartz movement,石英机芯
939,handle of door,handle of door,门把手
940,balloons and streamers,balloons and streamers,气球和彩带
941,apple nut chutney,apple nut chutney,苹果坚果酸辣酱
942,baggies,baggies,袋
943,expensive hobby,expensive hobby,昂贵的爱好
944,bagel shop,bagel shop,百吉饼店
945,relaxing music,relaxing music,轻松的音乐
946,apple butter,apple butter,苹果黄油
947,warm clothes,warm clothes,暖和的衣服
948,crane,crane,起重机
949,knuckle,knuckle,指关节
950,create idea,create idea,创造理念
951,mobile devices,mobile devices,移动设备
952,tent and ground sheet,tent and ground sheet,帐篷和床单
953,trash container,trash container,垃圾桶
954,spacesuit,spacesuit,航天服
955,tea bag,tea bag,茶包
956,peak,peak,山峰
957,red carpet,red carpet,红地毯
958,answer phone,answer phone,接电话
959,jigsaw puzzle,jigsaw puzzle,拼图游戏
960,lawn furniture,lawn furniture,草坪家具
961,queen of hearts,queen of hearts,红桃皇后
962,pregancy test,pregancy test,怀孕测试
963,noisemaker,noisemaker,会高声喧闹的人
964,rattle,rattle,使不安
965,seat cover,seat cover,座套
966,pocket watch,pocket watch,怀表
967,herd of sheep,herd of sheep,羊群
968,concert tickets,concert tickets,音乐会门票
969,plant growth,plant growth,植物生长
970,money clip,money clip,钱夹
971,express,express,表达
972,junk food,junk food,垃圾食品
973,utopia,utopia,乌托邦
974,mob,mob,暴徒
975,very good sneakers,very good sneakers,很好的运动鞋
976,eat apple,eat apple,吃苹果
977,hore,hore,霍尔
978,leaf,leaf,叶子
979,office door,office door,办公室门
980,blowhorn,blowhorn,布洛霍恩
981,surf net,surf net,冲浪网
982,applications,applications,应用
983,pump,pump,泵
984,learn about world,learn about world,了解世界
985,giftbag,giftbag,礼品袋
986,cinnzeo store,cinnzeo store,cinnzeo商店
987,sundial,sundial,日晷
988,bloke,bloke,家伙
989,ziploc bags,ziploc bags,拉链袋
990,store shelf,store shelf,储物架
991,buttons,buttons,按钮
992,red pepper flakes,red pepper flakes,红辣椒片
993,transit ticket,transit ticket,过境票
994,superhero,superhero,超级英雄
995,eat cookie,eat cookie,吃饼干
996,paycheque,paycheque,工资
997,dental tools,dental tools,牙科工具
998,dime store,dime store,廉价商店
999,crack addict,crack addict,吸毒成瘾
1000,chefs hat,chefs hat,厨师帽
1001,theater,theater,剧院
1002,robber,robber,强盗
1003,beach bag,beach bag,沙滩包
1004,learner's permit,learner's permit,学习许可证
1005,grocery items,grocery items,食品杂货
1006,house keys,house keys,房屋钥匙
1007,watch film,watch film,看电影
1008,credit card processor,credit card processor,信用卡处理机
1009,engineer,engineer,工程师
1010,detangler spray,detangler spray,脱唐勒喷雾剂
1011,shipping labels,shipping labels,船运标签
1012,visitor,visitor,游客
1013,wool,wool,毛
1014,take phone call,take phone call,接听电话
1015,party outfit,party outfit,派对装备
1016,wares,wares,商品
1017,loud music,loud music,吵闹的音乐
1018,type,type,类型
1019,circus bear,circus bear,马戏团熊
1020,scotch tape,scotch tape,思高透明胶带
1021,kitty litter,kitty litter,猫仔
1022,suntan oil,suntan oil,防晒油
1023,pebble,pebble,卵石
1024,inspection sticker,inspection sticker,检验贴纸
1025,random items,random items,随机项目
1026,silence,silence,沉默
1027,different paintbrushes,different paintbrushes,不同的画笔
1028,fancy dress,fancy dress,化装服饰
1029,radio studio in,radio studio in,电台演播室
1030,rescuer,rescuer,救助者
1031,fire truck,fire truck,消防车
1032,expectorant,expectorant,祛痰剂
1033,conciousness,conciousness,意识
1034,love seat,love seat,双人沙发
1035,new contract,new contract,新合同
1036,small stones,small stones,小石子
1037,geek,geek,土包子
1038,insulated container,insulated container,绝缘容器
1039,parachuter,parachuter,降落伞
1040,crosswalk push button,crosswalk push button,人行横道按钮
1041,missionary,missionary,传教士
1042,listen to music,listen to music,听音乐
1043,poor student,poor student,贫困学生
1044,osprey,osprey,鹗
1045,crust,crust,地壳
1046,passage,passage,通道
1047,sha ving kit,sha ving kit,沙文杰
1048,other people,other people,其他人
1049,fuck,fuck,我擦
1050,facts,facts,事实
1051,tax forms,tax forms,纳税申报表
1052,compartment,compartment,格
1053,red pen,red pen,红笔
1054,guest at party,guest at party,宴会上的客人
1055,water color,water color,水色
1056,catolog,catolog,卡托洛
1057,usually very far away,usually very far away,一般都很远
1058,life vest,life vest,救生衣
1059,plastic eggs,plastic eggs,塑料蛋
1060,shopping trolley,shopping trolley,购物手推车
1061,paddle,paddle,桨
1062,ski masks,ski masks,滑雪面罩
1063,vehicle bomb,vehicle bomb,车辆炸弹
1064,baptismal font,baptismal font,洗礼盆
1065,testimony,testimony,证词
1066,spirit,spirit,精神
1067,weight lifting belt,weight lifting belt,提重皮带
1068,one breath test,one breath test,一次呼吸测试
1069,meat pie,meat pie,肉馅饼
1070,capsule,capsule,胶囊
1071,apparatus,apparatus,仪器
1072,drenched shirt,drenched shirt,湿透的衬衫
1073,diplomat,diplomat,外交官
1074,extra time,extra time,加时赛
1075,nuteral location,nuteral location,nuteral位置
1076,hawaiin mustard,hawaiin mustard,夏威夷芥末
1077,trapper,trapper,设陷阱捕兽者
1078,listener,listener,听者
1079,pollution,pollution,污染
1080,record,record,记录
1081,giraffe,giraffe,长颈鹿
1082,vegetable garden,vegetable garden,菜园
1083,lawn gnome,lawn gnome,草坪侏儒
1084,excerciser,excerciser,节选自
1085,cai,cai,蔡铭超
1086,tradesman,tradesman,商人
1087,reservation desk,reservation desk,预定台
1088,sale,sale,销售
1089,dining plate,dining plate,餐盘
1090,chains,chains,链
1091,some pencils,some pencils,一些铅笔
1092,buy lunch,buy lunch,印度求购午餐
1093,peanut bag,peanut bag,花生袋
1094,bat boy,bat boy,蝙蝠男孩
1095,employer,employer,雇主
1096,chloroform,chloroform,氯仿
1097,candy pouch,candy pouch,糖果袋
1098,ignorance,ignorance,无知
1099,storehouse,storehouse,仓库
1100,flash,flash,闪光
1101,chess player,chess player,棋手
1102,pain pill,pain pill,止痛丸
1103,trailer,trailer,拖车
1104,cat vomit,cat vomit,猫的呕吐物
1105,hike mountain,hike mountain,远足山
1106,mirrors,mirrors,镜子
1107,quilter,quilter,绗缝机
1108,dinnerware,dinnerware,餐具
1109,astromony,astromony,星形锑
1110,candle,candle,蜡烛
1111,propose to woman,propose to woman,向妇女求婚
1112,firefox,firefox,火狐
1113,furniture,furniture,家具
1114,future,future,未来
1115,taxi license,taxi license,出租车牌照
1116,puddle of water,puddle of water,一滩水
1117,w2 forms,w2 forms,W2表格
1118,checker pieces,checker pieces,棋子棋子
1119,birthday,birthday,生日
1120,famous name,famous name,名
1121,letter slot,letter slot,字母槽
1122,savings,savings,储蓄
1123,candy bars,candy bars,糖果棒
1124,drummer,drummer,鼓手
1125,eat dinner,eat dinner,吃晚饭
1126,balloons,balloons,气球
1127,astronaut,astronaut,宇航员
1128,plaster,plaster,熟石膏
1129,win baseball game,win baseball game,赢得棒球比赛
1130,dairy,dairy,乳制的
1131,music books,music books,音乐书籍
1132,bus stop sign,bus stop sign,巴士站标志
1133,restaurant,restaurant,餐厅
1134,prenatal vitamins,prenatal vitamins,产前维生素
1135,castle,castle,城堡
1136,baby food,baby food,婴儿食品
1137,adultery,adultery,通奸
1138,beautiful casket,beautiful casket,漂亮的棺材
1139,guerilla,guerilla,游击队
1140,long sleeved top,long sleeved top,长袖上衣
1141,peace of mind,peace of mind,内心的宁静
1142,propaganda,propaganda,宣传
1143,orange vest,orange vest,橙色背心
1144,canteens,canteens,食堂
1145,training wheels,training wheels,训练轮
1146,moon bounce,moon bounce,月球弹跳
1147,national highway,national highway,国道
1148,computer scientist,computer scientist,计算机科学家
1149,outside house,outside house,屋外
1150,boogie shoes,boogie shoes,布吉鞋
1151,horseshoe crab,horseshoe crab,鲎
1152,baker,baker,面包师
1153,puddy,puddy,帕迪
1154,score,score,得分
1155,note pad,note pad,记事本
1156,mess,mess,混乱
1157,water slippers,water slippers,水拖鞋
1158,clean diaper,clean diaper,清洁尿布
1159,gym,gym,健身房
1160,grocery bag,grocery bag,购物袋
1161,commit murder,commit murder,谋杀
1162,antiacids,antiacids,抗酸剂
1163,garment,garment,衣服
1164,zoo keeper,zoo keeper,动物园管理员
1165,sandpaper blocks,sandpaper blocks,砂纸块
1166,teapot,teapot,茶壶
1167,alarm clock,alarm clock,闹钟
1168,business casual outfit,business casual outfit,商务休闲装
1169,licensed aggreemet,licensed aggreemet,持牌机构
1170,buy beer,buy beer,印度求购啤酒
1171,brownstone,brownstone,褐沙石
1172,laugh at joke,laugh at joke,嘲笑笑话
1173,spot,spot,地点
1174,booth,booth,投票间
1175,homeless poeple,homeless poeple,无家可归的人
1176,roads,roads,路
1177,container drum,container drum,集装箱滚筒
1178,soap dish,soap dish,肥皂碟
1179,nasa,nasa,美国国家航空航天局
1180,read book,read book,读书
1181,big top,big top,大帐篷
1182,range of meat and veg,range of meat and veg,肉和蔬菜的范围
1183,spreader,spreader,散布机
1184,regisration form,regisration form,注册表格
1185,crook,crook,骗子
1186,eat hot food,eat hot food,吃热的食物
1187,learn about linguistics,learn about linguistics,学习语言学
1188,nappies,nappies,尿布
1189,loans,loans,贷款
1190,dinner reservations,dinner reservations,晚餐预订
1191,gameboy,gameboy,游戏小子
1192,pianist,pianist,钢琴家
1193,cheapskate,cheapskate,小气鬼
1194,dacha,dacha,别墅
1195,angiosperm,angiosperm,被子植物
